J,3,3c
DIVF,3,64
ADDF,3,58
DIVR,2,9c
ADDR,2,90
DIV,3,24
FLOAT,1,c0
SHIFTL,2,a4
SHIFTR,2,a8
AND,3,40
OR,3,44
SSK,3,ec
MULF,3,60
FIX,1,c4
JEQ,3,30
MULR,2,98
STA,3,0c
STB,3,78
STF,3,80
STI,3,d4
STL,3,14
LDA,3,00
LDB,3,68
STS,3,7c
LDF,3,70, -> ,STT,3,84
ADD,3,18
STX,3,10
LDL,3,08
LDS,3,6c
LDT,3,74, -> ,LPS,3,d0
COMPF,3,88, -> ,LDX,3,04
SUB,3,1c
COMP,3,28, -> ,COMPR,2,a0
SIO,1,f0
HIO,1,f4
RD,3,d8
JGT,3,34
STCH,3,54
SUBF,3,5c
SVC,2,b0
SUBR,2,94
TIO,1,f8
RSUB,3,4c
TIX,3,2c
NORM,1,c8
TIXR,2,b8
TD,3,e0
LDCH,3,50
RMO,2,ac
CLERA,2,b4, -> ,JSUB,3,48
STSW,3,e8
WD,3,dc
JLT,3,38
MUL,3,20
